,artist,album,track_name,popularity,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Tom Odell,Long Way Down (Deluxe),Another Love,93,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0,0.04,1.65e-05,0.0944,0.131,122.769,244360,4
1,Billie Eilish,lovely (with Khalid),lovely (with Khalid),88,0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,4,-10.109,0,0.0333,0.0,0.095,0.12,115.284,200186,4
2,Seafret,Tell Me It's Real (Expanded Edition),Atlantis,88,1Fid2jjqsHViMX6xNH70hE,0.4,0.479,8,-7.989,0,0.0308,2.14e-06,0.115,0.213,166.159,229173,4
3,Conan Gray,Kid Krow,Heather,87,4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,5,-7.301,1,0.0333,0.0,0.322,0.27,102.078,198040,3
4,Olivia Rodrigo,SOUR,traitor,86,5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0.0,0.12,0.0849,100.607,229227,4
5,Radiohead,Pablo Honey,Creep,85,70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,7,-9.935,1,0.0372,0.000133,0.129,0.104,91.844,238640,4
6,Alec Benjamin,Narrated For You,Let Me Down Slowly,85,2qxmye6gAegTMjLKEBoR3d,0.652,0.557,1,-5.714,0,0.0318,0.0,0.124,0.483,150.073,169354,4
7,Coldplay,A Rush of Blood to the Head,The Scientist,85,75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,1,0.0243,1.46e-05,0.11,0.213,146.277,309600,4
8,Ed Sheeran,x (Deluxe Edition),Photograph,84,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.000464,0.0986,0.201,107.989,258987,4
9,Harry Styles,Fine Line,Falling,84,1ZMiCix7XSAbfAJlEZWMCp,0.567,0.267,4,-6.502,1,0.0299,1.46e-06,0.089,0.0592,110.011,240133,4
10,Sam Smith,In The Lonely Hour,Stay With Me,83,5Nm9ERjJZ5oyfXZTECKmRt,0.418,0.42,0,-6.444,1,0.0414,6.39e-05,0.11,0.184,84.094,172724,4
11,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",when the party's over,83,43zdsphuZLzwA9k4DJhU0I,0.367,0.111,4,-14.084,1,0.0972,3.97e-05,0.0897,0.198,82.642,196077,4
12,Olivia Rodrigo,SOUR,drivers license,86,5wANPM4fQCJwkGd4rN57mH,0.561,0.431,10,-8.81,1,0.0578,1.42e-05,0.106,0.137,143.875,242013,4
13,Tate McRae,you broke me first,you broke me first,83,45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,4,-9.389,1,0.05,0.0,0.0906,0.0823,124.148,169266,4
14,Chord Overstreet,Hold On,Hold On,81,5vjLSffimiIP26QG5WcN2K,0.618,0.443,2,-9.681,1,0.0526,0.0,0.0829,0.167,119.949,198853,4
15,Bruno Mars,Doo-Wops & Hooligans,Talking to the Moon,81,161DnLWsx1i3u1JT05lzqU,0.498,0.59,1,-4.721,0,0.032,0.0,0.107,0.0784,145.867,217867,4
16,Coldplay,X&Y,Fix You,83,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.00196,0.113,0.124,138.178,295533,4
17,Shawn Mendes,Illuminate (Deluxe),Mercy,81,0AS63m1wHv9n4VVRizK6Hc,0.555,0.662,11,-4.952,0,0.0827,0.0,0.111,0.356,148.128,208733,4
18,Selena Gomez,Rare,Lose You To Love Me,81,4l0Mvzj72xxOpRrp6h8nHi,0.488,0.343,4,-8.985,1,0.0436,0.0,0.21,0.0978,102.819,206459,4
19,Kodaline,In A Perfect World (Expanded Edition),All I Want,81,0NlGoUyOJSuSHmngoibVAs,0.188,0.411,0,-9.733,1,0.0484,0.153,0.0843,0.159,187.376,305747,3
20,P!nk,The Truth About Love,Just Give Me a Reason (feat. Nate Ruess),80,1mKXFLRA179hdOWQBwUk9e,0.778,0.547,2,-7.273,1,0.0489,0.000302,0.132,0.441,95.002,242733,4
21,James Arthur,Back from the Edge,Train Wreck,80,55Am8neGJkdj2ADaM3aw5H,0.311,0.485,6,-5.726,0,0.0365,0.0,0.0726,0.225,77.355,208827,4
22,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Bruises,80,4Of7rzpRpV1mWRbhp5rAqG,0.736,0.308,4,-7.83,1,0.0677,0.0,0.186,0.361,111.202,220492,4
23,Calum Scott,Only Human (Deluxe),Dancing On My Own,80,2BOqDYLOJBiMOXShCV1neZ,0.681,0.174,1,-8.745,1,0.0315,3.35e-05,0.0983,0.231,112.672,260285,4
24,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",i love you,80,6CcJMwBtXByIz4zQLzFkKc,0.421,0.131,0,-18.435,1,0.0382,0.00453,0.109,0.12,137.446,291796,4
25,Christina Perri,A Thousand Years,A Thousand Years,80,6lanRgr6wXibZr8KgzXxBl,0.421,0.407,10,-7.445,1,0.0267,0.000961,0.11,0.161,139.028,285120,3
26,The Fray,How To Save A Life,How to Save a Life,79,5fVZC9GiM4e8vu99W0Xf6J,0.64,0.743,10,-4.08,1,0.0379,0.0,0.101,0.361,122.035,262533,4
